# SN, Summary numbers:
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	248
SN	0	number of records:	167
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	167
SN	0	number of MNPs:	0
SN	0	number of indels:	0
SN	0	number of others:	0
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# PSC	[2]id	[3]sample	[4]nRefHom	[5]nNonRefHom	[6]nHets	[7]nTransitions	[8]nTransversions	[9]nIndels	[10]average depth	[11]nSingletons	[12]nHapRef	[13]nHapAlt	[14]nMissing
PSC	0	gonl-1b	99	3	26	18	11	0	16.8	0	0	0	39
PSC	0	gonl-2b	96	4	32	24	12	0	16.8	0	0	0	35
PSC	0	gonl-3b	95	8	1	6	3	0	12.0	0	0	0	63
PSC	0	gonl-4b	118	10	8	13	5	0	17.0	0	0	0	31
PSC	0	gonl-5b	109	4	25	19	10	0	16.4	0	0	0	29
PSC	0	gonl-6b	106	3	14	13	4	0	13.2	1	0	0	44
PSC	0	gonl-7b	96	4	33	24	13	0	17.8	1	0	0	34
PSC	0	gonl-8b	68	1	24	16	9	0	11.7	0	0	0	74
PSC	0	gonl-9b	95	0	8	7	1	0	11.2	0	0	0	64
PSC	0	gonl-10b	111	4	10	10	4	0	14.5	0	0	0	42
PSC	0	gonl-11b	42	0	3	2	1	0	7.6	0	0	0	122
PSC	0	gonl-12b	103	2	10	9	3	0	11.6	0	0	0	52
PSC	0	gonl-13b	110	2	20	15	7	0	15.2	1	0	0	35
PSC	0	gonl-14b	122	0	13	10	3	0	15.8	0	0	0	32
PSC	0	gonl-15b	103	6	16	13	9	0	14.2	0	0	0	42
PSC	0	gonl-16b	104	5	19	17	7	0	15.4	1	0	0	39
PSC	0	gonl-17b	106	9	14	16	7	0	15.7	0	0	0	38
PSC	0	gonl-18b	95	2	10	9	3	0	11.7	0	0	0	60
PSC	0	gonl-19b	111	5	14	14	5	0	15.1	0	0	0	37
PSC	0	gonl-20b	122	2	7	6	3	0	14.0	0	0	0	36
PSC	0	gonl-21b	97	5	25	19	11	0	13.7	0	0	0	40
PSC	0	gonl-22b	109	3	29	22	10	0	16.4	0	0	0	26
PSC	0	gonl-23b	95	0	32	21	11	0	13.4	1	0	0	40
PSC	0	gonl-24b	82	0	4	4	0	0	10.6	0	0	0	81
PSC	0	gonl-25b	83	2	25	17	10	0	12.6	0	0	0	57
PSC	0	gonl-26b	105	8	0	6	2	0	11.8	0	0	0	54
PSC	0	gonl-27b	104	8	14	17	5	0	15.3	0	0	0	41
PSC	0	gonl-28b	111	4	14	13	5	0	14.6	0	0	0	38
PSC	0	gonl-29b	91	0	9	5	4	0	10.9	0	0	0	67
PSC	0	gonl-30b	117	7	13	15	5	0	15.7	0	0	0	30
PSC	0	gonl-31b	88	0	10	7	3	0	11.4	0	0	0	69
PSC	0	gonl-32b	119	3	12	10	5	0	15.2	0	0	0	33
PSC	0	gonl-33b	102	3	14	13	4	0	12.5	0	0	0	48
PSC	0	gonl-34b	96	2	9	7	4	0	11.3	0	0	0	60
PSC	0	gonl-35b	93	0	8	6	2	0	11.3	0	0	0	66
PSC	0	gonl-36b	114	2	22	16	8	0	17.5	0	0	0	29
PSC	0	gonl-37b	109	0	23	17	6	0	16.5	0	0	0	35
PSC	0	gonl-38b	103	0	21	15	6	0	14.6	0	0	0	43
PSC	0	gonl-39b	107	0	11	7	4	0	11.7	0	0	0	49
PSC	0	gonl-40b	104	12	0	8	4	0	13.3	0	0	0	51
PSC	0	gonl-41b	114	11	20	21	10	0	20.2	0	0	0	22
PSC	0	gonl-42b	105	0	9	7	2	0	12.6	0	0	0	53
PSC	0	gonl-43b	126	0	11	9	2	0	14.8	0	0	0	30
PSC	0	gonl-44b	98	5	40	29	16	0	19.8	0	0	0	24
PSC	0	gonl-45b	77	4	4	5	3	0	10.7	0	0	0	82
PSC	0	gonl-46b	89	3	23	19	7	0	14.1	0	0	0	52
PSC	0	gonl-47b	88	1	14	9	6	0	11.6	1	0	0	64
PSC	0	gonl-48b	82	7	1	7	1	0	10.5	0	0	0	77
PSC	0	gonl-49b	103	0	28	18	10	0	15.9	0	0	0	36
PSC	0	gonl-50b	98	3	14	11	6	0	11.8	0	0	0	52
PSC	0	gonl-51b	108	12	14	18	8	0	16.7	0	0	0	33
PSC	0	gonl-52b	98	5	1	5	1	0	12.4	0	0	0	63
PSC	0	gonl-53b	121	6	2	6	2	0	14.0	0	0	0	38
PSC	0	gonl-54b	102	5	29	22	12	0	16.7	0	0	0	31
PSC	0	gonl-55b	115	4	15	14	5	0	13.9	0	0	0	33
PSC	0	gonl-56b	73	7	1	6	2	0	10.1	0	0	0	86
PSC	0	gonl-57b	89	4	23	19	8	0	12.8	0	0	0	51
PSC	0	gonl-58b	86	1	9	6	4	0	11.4	0	0	0	71
PSC	0	gonl-59b	101	0	26	19	7	0	15.3	0	0	0	40
PSC	0	gonl-60b	102	4	13	14	3	0	13.1	0	0	0	48
PSC	0	gonl-61b	100	3	10	8	5	0	12.3	1	0	0	54
PSC	0	gonl-62b	93	6	10	12	4	0	11.6	0	0	0	58
PSC	0	gonl-63b	99	7	15	16	6	0	13.8	1	0	0	46
PSC	0	gonl-64b	105	9	14	17	6	0	13.9	0	0	0	39
PSC	0	gonl-65b	86	0	14	9	5	0	10.9	0	0	0	67
PSC	0	gonl-66b	97	7	3	8	2	0	11.6	0	0	0	60
PSC	0	gonl-67b	94	0	6	4	2	0	11.0	1	0	0	67
PSC	0	gonl-68b	102	5	12	12	5	0	13.1	0	0	0	48
PSC	0	gonl-69b	102	11	3	10	4	0	12.1	0	0	0	51
PSC	0	gonl-70b	91	6	22	21	7	0	13.8	0	0	0	48
PSC	0	gonl-71b	113	4	10	11	3	0	13.7	0	0	0	40
PSC	0	gonl-72b	77	4	23	19	8	0	13.2	0	0	0	63
PSC	0	gonl-73b	96	5	28	21	12	0	17.9	0	0	0	38
PSC	0	gonl-74b	117	1	6	5	2	0	13.0	0	0	0	43
PSC	0	gonl-75b	120	6	13	14	5	0	16.1	0	0	0	28
PSC	0	gonl-76b	112	0	11	8	3	0	12.3	0	0	0	44
PSC	0	gonl-77b	115	9	19	21	7	0	20.3	0	0	0	24
PSC	0	gonl-78b	109	2	23	16	9	0	17.3	0	0	0	33
PSC	0	gonl-79b	94	4	26	21	9	0	15.2	0	0	0	43
PSC	0	gonl-80b	75	4	30	23	11	0	12.1	1	0	0	58
PSC	0	gonl-81b	124	1	9	8	2	0	15.6	1	0	0	33
PSC	0	gonl-82b	97	1	26	17	10	0	16.3	0	0	0	43
PSC	0	gonl-83b	114	10	18	17	11	0	17.4	0	0	0	25
PSC	0	gonl-84b	102	0	27	18	9	0	15.9	0	0	0	38
PSC	0	gonl-85b	107	4	15	13	6	0	13.4	0	0	0	41
PSC	0	gonl-86b	113	0	14	8	6	0	14.9	0	0	0	40
PSC	0	gonl-87b	112	7	8	10	5	0	16.4	0	0	0	40
PSC	0	gonl-88b	105	0	11	9	2	0	14.3	0	0	0	51
PSC	0	gonl-89b	106	8	22	21	9	0	17.3	0	0	0	31
PSC	0	gonl-90b	116	0	10	6	4	0	13.2	0	0	0	41
PSC	0	gonl-91b	107	6	14	14	6	0	15.0	0	0	0	40
PSC	0	gonl-92b	95	4	7	9	2	0	11.0	0	0	0	61
PSC	0	gonl-93b	118	11	2	10	3	0	13.8	0	0	0	36
PSC	0	gonl-94b	81	5	1	5	1	0	10.1	0	0	0	80
PSC	0	gonl-95b	106	8	29	23	14	0	17.6	0	0	0	24
PSC	0	gonl-96b	105	12	16	17	11	0	16.1	2	0	0	34
PSC	0	gonl-97b	114	7	0	6	1	0	12.5	0	0	0	46
PSC	0	gonl-98b	101	5	12	13	4	0	12.0	0	0	0	49
PSC	0	gonl-99b	130	0	0	0	0	0	13.9	0	0	0	37
PSC	0	gonl-100b	115	10	3	11	2	0	14.7	1	0	0	39
PSC	0	gonl-101b	94	2	9	8	3	0	12.0	0	0	0	62
PSC	0	gonl-102b	81	3	10	10	3	0	10.7	0	0	0	73
PSC	0	gonl-103b	89	8	13	14	7	0	13.3	0	0	0	57
PSC	0	gonl-104b	112	5	14	12	7	0	14.0	0	0	0	36
PSC	0	gonl-105b	106	5	0	4	1	0	12.5	0	0	0	56
PSC	0	gonl-106b	107	10	1	8	3	0	12.5	1	0	0	49
PSC	0	gonl-107b	121	10	2	9	3	0	15.2	0	0	0	34
PSC	0	gonl-108b	107	10	0	6	4	0	12.5	0	0	0	50
PSC	0	gonl-109b	117	4	21	15	10	0	15.2	1	0	0	25
PSC	0	gonl-110b	109	0	17	10	7	0	14.3	0	0	0	41
PSC	0	gonl-111b	120	2	13	11	4	0	14.7	0	0	0	32
PSC	0	gonl-112b	111	6	1	5	2	0	12.8	0	0	0	49
PSC	0	gonl-113b	121	5	12	12	5	0	14.3	0	0	0	29
PSC	0	gonl-114b	136	0	10	8	2	0	22.0	1	0	0	21
PSC	0	gonl-115b	90	0	6	5	1	0	10.5	0	0	0	71
PSC	0	gonl-116b	96	3	16	12	7	0	12.1	0	0	0	52
PSC	0	gonl-117b	111	0	14	11	3	0	14.1	0	0	0	42
